,Tipo,Quantidade de palavras,variance_of_word_counts,Quantidade,Classe
0,ESFP,21.344166666666666,139.72472977660604,-2.8003876547521194,Exploradores
1,ISTP,24.26724035608309,142.10100419324553,-0.6396047840433122,Exploradores
2,ISFP,23.664797047970477,145.386454212292,-1.0849405227406037,Exploradores
3,ESTP,24.203820224719106,147.0999378998583,-0.6864859605273566,Exploradores
4,INTJ,24.831659028414272,134.03618001005145,-0.22237746490415275,Analistas
5,INTP,24.90470858895702,135.4886469243018,-0.16837806020043783,Analistas
6,ENTJ,25.3126406926407,138.58571909111637,0.13317188198657448,Analistas
7,ENTP,25.077197080292006,139.39890864746778,-0.04087180580099807,Analistas
8,ISTJ,25.204585365853653,138.85159932481835,0.05329565441979539,Sentinelas
9,ISFJ,25.783012048192756,129.9079224980074,0.48087791883023695,Sentinelas
10,ESTJ,25.55179487179487,144.4127923513601,0.30995848016430433,Sentinelas
11,ESFJ,26.75047619047619,121.35991069822764,1.196042902265322,Sentinelas
12,INFJ,26.526925170068047,133.3795453666379,1.030790408845006,Diplomatas
13,INFP,25.848034934497832,141.3674112761107,0.5289438774274372,Diplomatas
14,ENFJ,26.688421052631593,129.9567318854056,1.1501707508448613,Diplomatas
15,ENFP,26.1603259259259,136.7312377441243,0.7597943781854795,Diplomatas
